Date,Task,Type,Minutes,AI leverage (H/M/L),Notes
2026-05-24,Monthly audit + report,Delivery,45,H,EXAMPLE — delete me. AI ran str-ai-seo audit; I reviewed priorities and finalized
2026-05-24,Social content,Delivery,55,H,EXAMPLE — delete me. Generated 8 posts; edited 2 for tone
2026-05-25,Web-dev plans/specs,Delivery,40,M,EXAMPLE — delete me. Mapped a new services page for their designer to build
2026-05-26,AI team training,Delivery,30,M,EXAMPLE — delete me. BETA EXTRA — short Loom on using ChatGPT for client emails
2026-05-27,Demo/site rebuild,System-building,90,M,EXAMPLE — delete me. One-time demo to show what's possible; not a live takeover
2026-05-28,Ad-hoc request,Ad-hoc,30,L,EXAMPLE — delete me. Asked for a quick favor (watch: is this in scope?)
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
